page,0,,2,Energy (Energy),Water,Protein,Fat,"Carbohydrate, Carbohydrate available,Carbohydrate by difference",Dietary Fibre,Ash,Calcium,Phosphorus,Magnesium,Sodium,Potassium,Iron,Copper,Zinc,Iodine,Betacarotene,Retinol,Total Vitamin A (RAE),Thiamin,Riboflavin,Niacin,Vitamin C,Vitamin E,Sugar,,29,30,31,32
food_page_13,03030,"ถั่วแปะยี้, ทอด",Lablab bean/seeds/fried,448,3.8,22.90,15.40,53.90,0.9,3.10,60,387,,,,10.80,,,,tr,,tr,0.44,0.35,3.40,0,,-,,,,,
food_page_13,03031,"ถัวพุ่ม, ทั้งเปลือก, ดิบ",Cowpea/whole seeds/raw,(355),10.9,24.30,2.30,(59.20),(4.5),3.30,19,14,,,,3.30,,,,0,,0,0.42,1.26,3.90,0,,-,,,,,
food_page_13,03032,"ถัวพุ่ม, แยกเปลือก, ดิบ",Cowpea/hulled/raw,(360),9.8,26.60,2.40,(57.90),(1.7),3.30,,31,,,,3.80,,,,0,,0,0.23,0.34,3.70,0,,-,,,,,
food_page_13,03033,"ถั่วแระ, ดิบ",Soybean/young seeds/raw,148,64.7,15.30,6.70,2.13,9.2,2.00,-,,,,,,,,,,,,0.57,0.26,1.10,22,,-,,,,,
food_page_13,03034,"ถั่วแระ, ต้ม",Soybean/young seeds/boiled,(184),57.2,17.80,4.70,(17.60),(3.9),2.70,194,330,,,,0.40,,,,,,,0.31,0.21,2.30,0,,-,,,,,
food_page_13,03035,"ถั่วลาย, ทั้งเปลือก, ดิบ",Butterfly pea/whole seeds/raw,(358),9.5,25.92,2.13,(58.90),(4.9),3.55,109,37,,,,5.50,,,,0,,0,0.31,1.29,4.20,0,,-,,,,,
food_page_13,03036,"ถั่วลาย, แยกเปลือก, ดิบ",Butterfly pea/hulled/raw,(353),10.9,26.60,2.25,(56.60),(2.3),3.65,,43,,,,6.20,,,,,,0,0.32,1.37,4.80,0,,-,,,,,
food_page_13,03037,"ถั่วลิสง, ดิบ","Peanut, raw",518,11.4,29.70,38.70,7.96,9.7,2.50,20,455,,,,13.80,,,,,,,0.59,0.09,2.20,8,,-,,,,,
food_page_13,03038,"ถั่วลิสง, ทอด, ไม่รวมเยื่อหุ้มเมล็ด",Peanut without seed coat/fried,626,1.1,28.19,51.25,9.07,8.0,2.46,38,295,,71,,1.58,,,,,,,,,,,,-,,,,,
food_page_13,03039,"ถั่วลิสง, อบเกลือ, รวมเยื่อหุ้มเมล็ด","Peanut with seed coat, baked with salt",602,1.5,27.62,47.65,10.40,10.3,2.52,42,333,,96,,0.94,,,,,,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_14,03040,"ถัวเล็บมือนาง, คั่ว","Rice bean, roasted",(359),8.0,20.40,1.30,(66.40),(5.0),3.90,21,92,,,,,,,,,,,0.10,0.03,1.00,,,-,,,,,
food_page_14,03041,"ถัวเล็บมือนาง, ดิบ","Rice bean, raw",(355),8.7,19.90,1.20,(66.20),(6.3),4.00,13,56,,,,2.20,,,,,,,0.53,0.50,5.20,,,-,,,,,
food_page_14,03042,"ถั่วหรั่ง, ดิบ","Bambara groundnut, raw",(180),58.1,8.40,3.80,(28.10),(2.2),1.60,20,143,,,,tr,,,,3,,tr,0.16,0.37,2.90,4,,-,,,,,
food_page_14,03043,"ถั่วหรั่ง, ต้ม","Bambara groundnut, boiled",(160),61.7,7.10,2.80,(26.50),(2.1),1.90,22,127,,,,tr,,,,0,0,0,0.10,0.18,1.60,,,-,,,,,
